Comment;date;symbol;drawdown_open_1;maxrunup_open_1;open;volume;gap;adr;;eps_estimate;reported_eps;surprise_pct;total_revenue;numberOfFunds;marketCapitalizationPrimary;numberOfFunds_prev;earnings_acceleration;sales_acceleration;atr;vwap;close_ma_10;ema_12;ema_26;MACD;signal;hist;close_ma_20;volume_avg_10
;2023-08-04 00:00:00+00:00;TEAM;-6,54;0,35;210,91;5214400;24,32;8,3;;0,45;0,57;27,23;939098000;1427;48620707800;1332;0;2,58;46,02;195,01;177,42;178,79;176,13;2,66;2,04;0,62;178,05;1944050
;2023-08-03 00:00:00+00:00;W;-3,98;10,04;82,43;24525200;13,09;3,96;;-0,74;0,21;128,55;3171000000;561;6721799680;568;-118,58;14,31;32,71;56,34;73,06;73,69;68,76;4,93;4,54;0,38;71,02;6108560
Draw over low;2023-08-02 00:00:00+00:00;ELF;-15,08;3,83;134,6;4262900;15,54;3,67;;0,56;1,1;95,01;216339000;660;6523970000;557;0;15,47;29,47;62,16;115,57;117,27;114,01;3,26;2,38;0,88;115;1419230
;2023-07-28 00:00:00+00:00;FSLR;-13,14;0,41;223,59;11359300;12,47;8,32;;0,96;1,59;65,66;810673000;2018;16562957300;1881;0;47,86;42,86;142,15;200,56;198,89;196,16;2,72;1,64;1,08;195,5;2702240
Retrace same day;2023-07-27 00:00:00+00:00;ALGN;-6,02;2,32;403,83;3474500;18,83;11,24;;2,03;2,22;9,36;1002173000;2065;16400768000;1994;0;6,26;89,67;306,91;350,31;349,25;342,69;6,56;6,8;-0,24;347,97;1296910
Retrace same day;2023-07-17 00:00:00+00:00;ARGX;-0,65;15,34;477,5;2641900;25,96;8,53;;-3,41;-4,26;-24,92;270550000;538;24800985100;523;0;23,46;130,54;355,03;390,4;397,08;393,73;3,35;-2,66;6;391,33;516280
Retrace same day;2023-07-12 00:00:00+00:00;DPZ;-4,43;2,77;398,9;2752000;14,04;7,73;;2,73;2,93;7,36;1024627000;1576;13542857700;1618;0;0,02;111,49;356,94;342,62;343,37;330,45;12,93;8,18;4,75;331,07;781480
;2023-06-22 00:00:00+00:00;PIXY;-27,67;26,48;60,72;1944708;91,67;7,71;;-0,63;-0,59;6,35;3988000;12;3525000;;0;-12,91;46,32;440,05;56,42;54,37;59,5;-5,13;-4,74;-0,39;54,79;202805,9
;2023-06-02 00:00:00+00:00;LULU;-7,23;2,28;378,23;9304500;15,19;7,99;;1,98;2,28;15,39;2771838000;2099;51937116200;;0;49,27;62,13;326,31;347,5;351,13;358,17;-7,03;-4,17;-2,86;362,8;3004610
;2023-05-25 00:00:00+00:00;NVDA;-4,9;14,19;385,23;154391100;26,15;9,34;;0,92;1,09;18,57;6051000000;5828;1,18118E+12;;0;2,02;124,09;3025,5;310,01;312,37;296,48;15,89;10,39;5,5;297,05;56653250
;2023-05-15 00:00:00+00:00;SRPT;-2,92;5,54;151,5;7881500;26,04;5,02;;-1,38;-5,86;-323,65;253500000;866;7727835000;;0;10,09;46,58;107,02;128,13;129,3;128,93;0,37;-1,69;2,06;126,38;2397360
;2023-05-12 00:00:00+00:00;FSLR;-0,2;13,84;203,8;23871100;11,25;7,84;;1,02;0,4;-60,87;548286000;1881;16562957300;;0;-12,82;61,45;134,6;183,29;191,83;195,14;-3,31;-5,59;2,28;196,26;3961580
;2023-05-08 00:00:00+00:00;WAL;-17,51;32,62;30,56;19266000;12,52;3,61;;2,04;2,3;12,9;447900000;585;5310535000;;0;-24,38;30,16;44,16;32,02;30,94;34,31;-3,38;-2,63;-0,75;33,66;18514190
Retrace same day;2023-05-05 00:00:00+00:00;BILL;-5,36;18,64;94,83;8361300;18,67;3,66;;0,24;0,5;109,06;272555000;1062;7000993000;;0;18,54;28,01;135,16;78,65;79,97;78,8;1,16;-0,33;1,5;77,76;2726310
;2023-05-04 00:00:00+00:00;SEDG;-7,06;5,15;299,9;2729100;13,68;13,11;;1,93;2,9;50,56;943889000;2025;4372742660;;0;12,81;65,9;283,24;288,33;285,61;292,08;-6,47;-2,67;-3,8;294,57;1676990
;2023-04-27 00:00:00+00:00;META;-4,19;6,56;239,89;71196500;14,56;4,64;;2,03;2,2;8,51;28645000000;4911;8,71158E+11;;0;3,36;38,87;-1281,96;216,82;216,55;210,67;5,89;6,22;-0,34;215,32;24758310
;2023-04-25 00:00:00+00:00;MEDP;-8,05;2,95;225;1326500;20,15;5,9;;1,8;2,27;26,04;434074000;733;8302206000;;0;13,12;52,15;175,07;192,99;192,82;191,55;1,27;-0,08;1,35;190,55;421550
Retrace same day;2023-04-18 00:00:00+00:00;ALLR;-29,53;111,41;59,6;1896630;26,27;26,15;;-0,42;-0,23;44,84;0;3;1404920;;0;;139;118,94;51,7;61,56;102,98;-41,43;-45,89;4,46;78,03;253332,5
;2023-03-31 00:00:00+00:00;MCB;-16,84;20,97;31;3300500;22,24;4,81;;2,33;2,44;4,95;65508000;295;413829400;;0;-5,26;42,27;58,62;34,65;35,61;41,09;-5,48;-5,38;-0,1;38,93;1152470
;2023-03-30 00:00:00+00:00;FFIE;-16,25;1;32;2293143;12,68;4,82;;-0,18;-0,32;-77,78;0;;;;0;;22,64;87,66;32,96;32,43;37,29;-4,86;-4,36;-0,5;36,02;855073,4
;2023-03-29 00:00:00+00:00;LULU;-2,66;4,91;366,25;11502000;14,34;8,32;;4,26;4,4;3,29;2771838000;;;;0;49,27;83,67;320,49;310,84;315,71;311,1;4,61;-1,19;5,8;306,42;3284660
Draw over low;2023-03-27 00:00:00+00:00;FCNCA;-5,04;25,81;868;1721400;49;34,19;;21,77;16,67;-23,44;1200000000;;;;0;;404,16;754,02;597,17;640,55;658,81;-18,26;-41,47;23,21;637,01;475640
